date,1. open,2. high,3. low,4. close,5. volume
2021-03-17 10:00:00,658.5,671.9,651.01,671.0886,5435903.0
2021-03-17 09:00:00,666.29,668.98,650.01,658.0,381211.0
2021-03-17 08:00:00,667.89,669.21,650.02,652.8,346663.0
2021-03-17 07:00:00,663.29,669.3,662.3,667.18,24962.0
2021-03-17 06:00:00,674.0,674.01,662.0,662.97,47953.0
2021-03-17 05:00:00,674.6,677.46,672.0,675.0,23566.0
2021-03-16 20:00:00,673.48,674.5,673.25,674.1,66535.0
2021-03-16 19:00:00,673.0,674.6,672.91,673.5,33752.0
2021-03-16 18:00:00,675.3,676.88,671.41,673.01,145730.0
2021-03-16 17:00:00,676.88,678.6,675.1,675.1201,287061.0
2021-03-16 16:00:00,677.66,682.7845,674.0634,676.63,5043536.0
2021-03-16 15:00:00,690.71,692.4684,671.0,677.7166,7353689.0
2021-03-16 14:00:00,695.495,698.8,689.21,690.55,3242978.0
2021-03-16 13:00:00,701.28,701.28,690.69,695.465,4044543.0
2021-03-16 12:00:00,702.8799,704.63,700.22,701.195,2640853.0
2021-03-16 11:00:00,699.07,707.92,695.2,702.815,4739739.0
2021-03-16 10:00:00,705.5,705.53,694.37,699.152,4000124.0
2021-03-16 09:00:00,703.62,708.0,703.62,705.5,149941.0
2021-03-16 08:00:00,706.0,707.0,703.5,705.05,97288.0
2021-03-16 07:00:00,705.0,706.0,703.0,706.0,33287.0
2021-03-16 06:00:00,705.62,706.0,704.51,704.71,12957.0
2021-03-16 05:00:00,710.77,711.0,704.01,705.0,16140.0
2021-03-15 20:00:00,706.09,706.64,701.0,702.0,66472.0
2021-03-15 19:00:00,707.0,707.5,706.21,706.21,20395.0
2021-03-15 18:00:00,706.66,707.0,706.01,706.56,22424.0
2021-03-15 17:00:00,707.7,708.4,705.77,706.81,285877.0
2021-03-15 16:00:00,708.67,709.1,702.58,707.94,3139840.0
2021-03-15 15:00:00,704.76,709.9,702.5,708.865,2509912.0
2021-03-15 14:00:00,704.485,706.35,700.01,704.7572,2324158.0
2021-03-15 13:00:00,700.05,707.7994,699.7,704.4399,2967510.0
2021-03-15 12:00:00,705.2,706.1578,692.1,700.06,4617663.0
2021-03-15 11:00:00,699.305,713.18,698.35,705.093,8140049.0
2021-03-15 10:00:00,691.5,699.9,684.04,699.295,4319378.0
2021-03-15 09:00:00,690.489,697.75,688.25,691.83,200717.0
2021-03-15 08:00:00,691.03,697.74,691.03,693.71,123537.0
2021-03-15 07:00:00,691.15,691.15,687.63,690.21,14947.0
2021-03-15 06:00:00,694.3,694.5,690.57,691.1,18053.0
2021-03-15 05:00:00,689.9,694.7,687.4,693.0,33233.0
2021-03-12 20:00:00,693.0,694.0,692.0,692.99,32488.0
2021-03-12 19:00:00,693.5,693.95,692.68,693.03,21097.0
2021-03-12 18:00:00,694.94,695.0,693.5,693.59,59352.0
2021-03-12 17:00:00,693.73,696.0,691.45,694.94,398214.0
